outcome,treated,point,value
DAP,ES,pct_att,-42.77941103560627
DAP,ES,pct_lb,-73.80010620958792
DAP,ES,pct_ub,-11.758715861624614
NRG,ES,pct_att,-15.200002516372754
NRG,ES,pct_lb,-23.881568010374053
NRG,ES,pct_ub,-6.518437022371454
xNRG,ES,pct_att,-1.4813003207468536
xNRG,ES,pct_lb,-2.435999261385513
xNRG,ES,pct_ub,-0.5266013801081942
CP00,ES,pct_att,-3.1159776990988535
CP00,ES,pct_lb,-4.272640283786642
CP00,ES,pct_ub,-1.9593151144110654
DAP,PT,pct_att,-41.92760616414995
DAP,PT,pct_lb,-72.96293595587952
DAP,PT,pct_ub,-10.892276372420378
NRG,PT,pct_att,-7.127332846040094
NRG,PT,pct_lb,-60.45200439981255
NRG,PT,pct_ub,46.197338707732364
xNRG,PT,pct_att,-0.021612980253692706
xNRG,PT,pct_lb,-3.012251244396205
xNRG,PT,pct_ub,2.9690252838888194
CP00,PT,pct_att,-1.4686596820386582
CP00,PT,pct_lb,-6.154173674730033
CP00,PT,pct_ub,3.216854310652716
